"","survey","no HIV 
test","no marital 
duration","no sexual 
debut","polygamous","too old","interview 
dates differ 
by >1 month","partner marital 
durations differ 
by >25% of 
 average","married >1yr 
before sex debut","sexual debut 
<5yrs old","married under 
8yrs old"
"1","Burkina Faso 2003-04",7.82,10.2,6.11,47.9,2.95,0.0855,15.5,17.7,0.0427,0.513
"2","Burkina Faso 2010-11",3.81,7.8,6.66,40.7,1.57,0.0393,7,9.71,0.0197,0.0197
"3","Burundi 2010-11",4.45,6.23,10.1,3.11,1.58,0,7.02,13.3,0,0.148
"4","Cameroon 2004",5.58,16.5,4.83,23,1.92,0.375,10.7,10.6,0,0.141
"5","Cameroon 2011",4.31,14.6,9.18,23.5,1.82,0.74,9.86,12.7,0.0336,0
"6","Congo 2009",3.69,14.1,6.87,10.3,0.238,0,13.3,10.9,0,0.0397
"7","Cote dIvoire 2005-06",16.7,6.85,2.83,23.6,0.197,0,15.6,10.1,0,0.263
"8","Cote dIvoire 2012",15.4,10.8,9.39,29.2,1.55,2.39,13.7,12.1,0,0.0469
"9","DRC 2007",9.61,12.1,8.85,27.3,1.98,0.421,9.48,13,0,0.169
"10","Ethiopia 2005",16.4,20.8,5.8,7.14,0.977,0,0,15.6,0,0
"11","Ethiopia 2011",8.33,13.3,10.6,7.71,0.771,0.148,13.4,18.5,0.0445,0.371
"12","Gabon 2012",3.34,19.6,7.76,11.6,1.49,0,11.3,9.35,0,0.103
"13","Ghana 2003",15.1,14.9,8.77,22.6,1.31,0,11.4,14.9,0,0
"14","Guinea 2005",7.31,14.3,7.41,52.6,1.9,0,10.5,15,0,0.15
"15","Guinea 2012",2.71,10.3,4.7,44.8,1.73,0,2.31,6.12,0,0.0444
"16","Kenya 2003",24.3,3.85,6.22,11.7,0.839,0.21,14.5,10,0,0.21
"17","Kenya 2008-09",14.2,3.21,8.67,9.85,0.559,0,15.4,13.9,0,0
"18","Lesotho 2004-05",23.8,1.2,9.76,5.48,2.27,0,10.6,17.5,0,0
"19","Lesotho 2009-10",9.75,2.13,10.3,1.57,2.69,0,11,15,0,0
"20","Liberia 2007",15.8,16.8,8.44,11.2,0.411,0,12,12.6,0,0.112
"21","Malawi 2004-05",29.9,16.1,12.4,11.4,0.541,0.0541,10.5,14.2,0.0541,0
"22","Malawi 2010",11.3,15,9.11,9.86,0.611,0.186,9.3,12.2,0,0.106
"23","Mali 2006-07",7.43,11.4,11.9,39.9,1.5,0.225,9.98,19.1,0,0.263
"24","Mozambique 2009",11.9,20.1,0.495,13.9,11.1,0.106,8.69,9.43,0,0.353
"25","Niger 2006",8.58,16.9,5.26,36.1,0.539,0.494,8.4,14.5,0,0.225
"26","Niger 2012",9.74,13.8,9.78,36.4,0.971,0,6.83,12.8,0.144,0.0719
"27","Rwanda 2005",2.24,8.09,4.52,5.66,1.23,0.228,3.61,7.63,0,0
"28","Rwanda 2010-11",0.531,5.03,4.78,2.41,1.88,0.177,3.08,5.42,0,0.0354
"29","Sao Tome and Principe 2008-09",5.69,22.6,6.01,9.33,2.58,0.215,6.76,8.58,0,0.107
"30","Senegal 2005",16.4,13.4,9.57,38.1,1.54,0,11.8,16.3,0.0698,0.279
"31","Senegal 2010-11",15.5,8.21,15,32.3,1.71,0,16,23.8,0.0533,0.32
"32","Sierra Leone 2008",9.79,15.1,15,27.6,0.458,0.114,17.1,19.5,0,0.744
"33","Swaziland 2006-07",17.8,5.11,11.8,6.98,0.374,0,20.2,13.3,0,0
"34","Tanzania 2004",18.7,11.3,0.329,12.3,0.0366,0,9.41,7.39,0,0.183
"35","Tanzania 2007-08",12,11.6,5.92,15.6,0.157,0,6.08,8.77,0,0
"36","Tanzania 2012",12.6,10.6,1.84,14.8,0.102,0,11.9,6.11,0.0256,0.0256
"37","Uganda 2004-05",8.55,16.1,38.2,28.3,4.75,0.045,11,7.94,0.0675,1.33
"38","Uganda 2011",2.57,13,0.735,19.5,5.08,0.245,13.7,18.4,0.0408,0.837
"39","Zambia 2007",26.5,12.8,10,9.36,1.41,0.0959,7.99,12,0.0639,0.032
"40","Zimbabwe 2005-06",27.9,7.38,6.36,12.9,0.625,0.468,10.4,11.2,0,0.039
"41","Zimbabwe 2010-11",21.2,8.32,10,5.76,0.333,0.0333,12.7,16.6,0,0.0333
